window,split,time,baseline,method,baseline_ic,correction_ic,candidate_ic,delta,confidence,mean_neighbor_distance,fingerprint_std,min_library_time,max_library_time,library_cutoff_exclusive
fold_3,train,2782,exp016_static_strict_oof_proxy,recent,-0.005259848019278289,-0.023351995305866204,-0.008395955443032564,-0.0031361074237542747,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2782,exp016_static_strict_oof_proxy,random,-0.005259848019278289,-0.03572911407081792,-0.00938647102625983,-0.004126623006981541,nan,nan,0.08206851035356522,673,2415,2432
fold_3,train,2783,exp016_static_strict_oof_proxy,retrieval,0.022160981978941206,-0.019106523245826325,0.017213285602597186,-0.00494769637634402,-2.8537233620882034,2.7828197479248047,0.07090361416339874,2030,2404,2432
fold_3,train,2783,exp016_static_strict_oof_proxy,recent,0.022160981978941206,-0.001240828120237968,0.01938512962378632,-0.002775852355154887,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2783,exp016_static_strict_oof_proxy,random,0.022160981978941206,-0.05036572022873147,0.014485706950820847,-0.007675275028120359,nan,nan,0.08976218104362488,588,2428,2432
fold_3,train,2784,exp016_static_strict_oof_proxy,retrieval,0.022016397128769228,-0.016618079626456797,0.01844537377607526,-0.0035710233526939673,-2.5570197105407715,2.485940933227539,0.07107877731323242,2240,2412,2432
fold_3,train,2784,exp016_static_strict_oof_proxy,recent,0.022016397128769228,0.027263764250414123,0.02273678267906841,0.0007203855502991817,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2784,exp016_static_strict_oof_proxy,random,0.022016397128769228,0.025546222225003135,0.022661960660654044,0.0006455635318848157,nan,nan,0.0766298770904541,560,2418,2432
fold_3,train,2785,exp016_static_strict_oof_proxy,retrieval,-0.12283432644912279,-0.18866229023949882,-0.13209151538124544,-0.009257188932122656,-3.0332266241312027,2.9569900035858154,0.07623662054538727,2008,2401,2432
fold_3,train,2785,exp016_static_strict_oof_proxy,recent,-0.12283432644912279,-0.13135581547741312,-0.12772313599048957,-0.004888809541366779,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2785,exp016_static_strict_oof_proxy,random,-0.12283432644912279,-0.20760976840133272,-0.13466581659373625,-0.01183149014461346,nan,nan,0.0861373320221901,503,2338,2432
fold_3,train,2786,exp016_static_strict_oof_proxy,retrieval,-0.08971860086472634,-0.14420149144969607,-0.09910131968819756,-0.00938271882347122,-2.5341100245714188,2.469801902770996,0.06430812180042267,2039,2415,2432
fold_3,train,2786,exp016_static_strict_oof_proxy,recent,-0.08971860086472634,-0.08713030041137299,-0.09431196240393246,-0.0045933615392061145,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2786,exp016_static_strict_oof_proxy,random,-0.08971860086472634,-0.14861959828690247,-0.10004690148691427,-0.010328300622187925,nan,nan,0.08025707304477692,639,2384,2432
fold_3,train,2787,exp016_static_strict_oof_proxy,retrieval,0.0017366776822153515,-0.11549965190230244,-0.009988307152329118,-0.011724984834544469,-2.5461003482341766,2.4818294048309326,0.06427094340324402,2232,2415,2432
fold_3,train,2787,exp016_static_strict_oof_proxy,recent,0.0017366776822153515,-0.10276217585721108,-0.009211261508424773,-0.010947939190640124,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2787,exp016_static_strict_oof_proxy,random,0.0017366776822153515,-0.1070886833584821,-0.009464937339696397,-0.011201615021911748,nan,nan,0.08230160176753998,518,2409,2432
fold_3,train,2788,exp016_static_strict_oof_proxy,retrieval,0.13045388841685565,0.067654441179646,0.1262217337839216,-0.004232154632934054,-2.5247386172413826,2.455850601196289,0.06888801604509354,1133,2415,2432
fold_3,train,2788,exp016_static_strict_oof_proxy,recent,0.13045388841685565,0.04121944495053702,0.1239595566254954,-0.006494331791360247,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2788,exp016_static_strict_oof_proxy,random,0.13045388841685565,0.055554457455966204,0.12540645590703306,-0.005047432509822591,nan,nan,0.09572026878595352,604,2415,2432
fold_3,train,2789,exp016_static_strict_oof_proxy,retrieval,0.13067419636322394,0.10490546126561999,0.13057463818263737,-9.955818058657306e-05,-2.8596667125821114,2.7919793128967285,0.06768739968538284,1133,2418,2432
fold_3,train,2789,exp016_static_strict_oof_proxy,recent,0.13067419636322394,0.05969203679109153,0.1263241416256283,-0.004350054737595643,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2789,exp016_static_strict_oof_proxy,random,0.13067419636322394,0.019402671244302467,0.12233838340466605,-0.008335812958557898,nan,nan,0.09143379330635071,493,2419,2432
fold_3,train,2790,exp016_static_strict_oof_proxy,retrieval,0.08700160262754703,0.11021705798441905,0.09104304291850514,0.004041440290958112,-3.78279335051775,3.7028517723083496,0.07994157820940018,1131,2401,2432
fold_3,train,2790,exp016_static_strict_oof_proxy,recent,0.08700160262754703,0.05278415867787488,0.08575268520155378,-0.0012489174259932428,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2790,exp016_static_strict_oof_proxy,random,0.08700160262754703,0.06957941817163862,0.08693932947133573,-6.227315621129548e-05,nan,nan,0.0819329172372818,491,2406,2432
fold_3,train,2791,exp016_static_strict_oof_proxy,retrieval,0.11491359239907643,0.13404841787699304,0.11933644142694201,0.004422849027865577,-2.509653776884079,2.439880609512329,0.06977316737174988,1110,2412,2432
fold_3,train,2791,exp016_static_strict_oof_proxy,recent,0.11491359239907643,0.15909673109597244,0.12196670988004567,0.007053117480969234,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2791,exp016_static_strict_oof_proxy,random,0.11491359239907643,0.17670843053369334,0.12370256770496191,0.008788975305885474,nan,nan,0.07855548709630966,549,2407,2432
fold_3,train,2792,exp016_static_strict_oof_proxy,retrieval,-0.03647006683750937,0.011196398575180193,-0.03241827245089487,0.004051794386614502,-2.638367846608162,2.5680956840515137,0.07027216255664825,1110,2412,2432
fold_3,train,2792,exp016_static_strict_oof_proxy,recent,-0.03647006683750937,0.005174149175051831,-0.033191107081535526,0.003278959755973844,nan,nan,0.0584629587829113,2400,2431,2432
fold_3,train,2792,exp016_static_strict_oof_proxy,random,-0.03647006683750937,0.040757333838612284,-0.029634892846500956,0.006835173991008414,nan,nan,0.07462312281131744,558,2431,2432
fold_3,train,2793,exp016_static_strict_oof_proxy,retrieval,-0.2080844184980577,-0.14498355130779023,-0.2073279397894181,0.0007564787086395963,-2.9374320283532143,2.8618688583374023,0.07556317001581192,1136,2400,2432
fold_3,train,2793,exp016_static_strict_oof_proxy,recent,-0.2080844184980577,-0.09727466115004715,-0.20322510977834027,0.004859308719717431,nan,nan,0.0584629587829113,2400,2431,2432
