window,time,baseline,method,alpha,history_w,distance_from_snapshot,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_2,2167,exp016_static_strict_oof_proxy,momentum,0.1,20,222,-0.05069975137237929,-0.048190176220653545,0.002509575151725743,0.9939819494252687
fold_2,2167,exp016_static_strict_oof_proxy,momentum,0.15,20,222,-0.05069975137237929,-0.04677466338223595,0.003925087990143336,0.9854900732421916
fold_2,2167,exp016_static_strict_oof_proxy,shuffled,0.05,20,222,-0.05069975137237929,-0.050695929348151876,3.822024227412291e-06,0.9986189795404343
fold_2,2167,exp016_static_strict_oof_proxy,shuffled,0.1,20,222,-0.05069975137237929,-0.04886184400083255,0.0018379073715467376,0.9940719541801702
fold_2,2167,exp016_static_strict_oof_proxy,shuffled,0.15,20,222,-0.05069975137237929,-0.04737552958649588,0.003324221785883409,0.9852122404535313
fold_2,2168,exp016_static_strict_oof_proxy,momentum,0.05,20,223,-0.012973882570699544,-0.009884427620729913,0.003089454949969631,0.9986742189130134
fold_2,2168,exp016_static_strict_oof_proxy,momentum,0.1,20,223,-0.012973882570699544,-0.006740688934185527,0.006233193636514017,0.994286422135072
fold_2,2168,exp016_static_strict_oof_proxy,momentum,0.15,20,223,-0.012973882570699544,-0.004095281566752257,0.008878601003947287,0.986149011079827
fold_2,2168,exp016_static_strict_oof_proxy,shuffled,0.05,20,223,-0.012973882570699544,-0.016072978789758385,-0.0030990962190588413,0.9986557424551455
fold_2,2168,exp016_static_strict_oof_proxy,shuffled,0.1,20,223,-0.012973882570699544,-0.01934809262098602,-0.006374210050286476,0.9941320215548358
fold_2,2168,exp016_static_strict_oof_proxy,shuffled,0.15,20,223,-0.012973882570699544,-0.02210722162740327,-0.009133339056703728,0.9857171386900059
fold_2,2169,exp016_static_strict_oof_proxy,momentum,0.05,20,224,0.10281896581783699,0.10992488973050094,0.0071059239126639445,0.9986723553525236
fold_2,2169,exp016_static_strict_oof_proxy,momentum,0.1,20,224,0.10281896581783699,0.1166677100979527,0.013848744280115705,0.9943632732939548
fold_2,2169,exp016_static_strict_oof_proxy,momentum,0.15,20,224,0.10281896581783699,0.12286516305692853,0.02004619723909154,0.9861878195668669
fold_2,2169,exp016_static_strict_oof_proxy,shuffled,0.05,20,224,0.10281896581783699,0.1030307590631653,0.000211793245328315,0.9986500511838521
fold_2,2169,exp016_static_strict_oof_proxy,shuffled,0.1,20,224,0.10281896581783699,0.10309358464978985,0.0002746188319528581,0.9942102111388982
fold_2,2169,exp016_static_strict_oof_proxy,shuffled,0.15,20,224,0.10281896581783699,0.10231547077290838,-0.0005034950449286091,0.9857755547853293
fold_2,2170,exp016_static_strict_oof_proxy,momentum,0.05,20,225,0.09819857557731768,0.10389281323002401,0.005694237652706338,0.998637523050953
fold_2,2170,exp016_static_strict_oof_proxy,momentum,0.1,20,225,0.09819857557731768,0.11031491576610272,0.012116340188785046,0.9940308212004043
