window,split,time,baseline,method,baseline_ic,correction_ic,candidate_ic,delta_vs_baseline,mean_neighbor_distance,min_library_time,max_library_time,library_cutoff_exclusive
fold_3,train,2647,exp016_static_strict_oof_proxy,recent,0.11141202207914346,0.12492008249937249,0.11647415253527589,0.005062130456132435,2.2548208236694336,486,2431,2432
fold_3,train,2647,exp016_static_strict_oof_proxy,residual,0.11141202207914346,0.01383654170786329,0.11101282419631954,-0.0003991978828239151,2.2548208236694336,486,2431,2432
fold_3,train,2648,exp016_static_strict_oof_proxy,retrieval,0.060061842673642195,0.09244233542522264,0.06605905637734773,0.005997213703705533,3.845245838165283,994,2401,2432
fold_3,train,2648,exp016_static_strict_oof_proxy,global,0.060061842673642195,0.09441990625189577,0.06629872333397835,0.006236880660336154,3.845245838165283,486,2431,2432
fold_3,train,2648,exp016_static_strict_oof_proxy,recent,0.060061842673642195,0.09987442971867848,0.06715751522594676,0.0070956725523045674,3.845245838165283,486,2431,2432
fold_3,train,2648,exp016_static_strict_oof_proxy,residual,0.060061842673642195,-0.006106692467855016,0.05887994026927845,-0.0011819024043637424,3.845245838165283,486,2431,2432
fold_3,train,2649,exp016_static_strict_oof_proxy,retrieval,0.05183608009741192,0.002565847150901335,0.048788323332799304,-0.003047756764612615,2.8419644832611084,2030,2431,2432
fold_3,train,2649,exp016_static_strict_oof_proxy,global,0.05183608009741192,0.027422114920604593,0.051104955225108925,-0.0007311248723029934,2.8419644832611084,486,2431,2432
fold_3,train,2649,exp016_static_strict_oof_proxy,recent,0.05183608009741192,0.023288694603179737,0.05084722786913524,-0.0009888522282766807,2.8419644832611084,486,2431,2432
fold_3,train,2649,exp016_static_strict_oof_proxy,residual,0.05183608009741192,-0.05232477434151522,0.045964797277280735,-0.005871282820131184,2.8419644832611084,486,2431,2432
fold_3,train,2650,exp016_static_strict_oof_proxy,retrieval,0.02239561835679587,-0.01547681918811199,0.018362005002723045,-0.004033613354072825,2.405606746673584,1014,2431,2432
fold_3,train,2650,exp016_static_strict_oof_proxy,global,0.02239561835679587,-4.391056384364637e-05,0.020726799906713354,-0.0016688184500825154,2.405606746673584,486,2431,2432
fold_3,train,2650,exp016_static_strict_oof_proxy,recent,0.02239561835679587,-0.008185966327305602,0.019736673761990807,-0.0026589445948050627,2.405606746673584,486,2431,2432
fold_3,train,2650,exp016_static_strict_oof_proxy,residual,0.02239561835679587,-0.023888347352081944,0.018767257221820408,-0.0036283611349754614,2.405606746673584,486,2431,2432
fold_3,train,2651,exp016_static_strict_oof_proxy,retrieval,-0.05168747893685881,-0.023869505633666886,-0.051377237361365014,0.0003102415754937943,2.0978498458862305,1271,2426,2432
fold_3,train,2651,exp016_static_strict_oof_proxy,global,-0.05168747893685881,-0.0009531499167371252,-0.048577807420414884,0.0031096715164439237,2.0978498458862305,486,2431,2432
fold_3,train,2651,exp016_static_strict_oof_proxy,recent,-0.05168747893685881,-0.004528872980977209,-0.0492025338197858,0.0024849451170730064,2.0978498458862305,486,2431,2432
