linear_weight,tcn_weight,lgbm_weight,first_half_rank_ic,second_half_rank_ic,full_rank_ic,plateau_max_delta,beats_first_half_single,beats_second_half_single,second_half_above_0_093940,stable_plateau,passes_all_gates
0.8,0.1,0.1,0.10158493530828001,0.089876213751916,0.09575466654976131,0.0029495009031800107,False,True,False,False,False
0.8,0.15,0.05,0.10188575616573568,0.08951562637160385,0.09572614421063301,0.0027825585803542274,False,True,False,False,False
0.75,0.0,0.25,0.10067271500643778,0.09063073393382334,0.09567238698262566,0.002542967879574601,False,True,False,False,False
0.05,0.65,0.3,0.10514317738678322,0.08605382406769013,0.09563777923200846,0.002798823433063466,True,True,False,False,False
0.6,0.0,0.4,0.10025993988492783,0.09092634548024996,0.09561234760934749,0.002742725378156008,False,True,False,False,False
0.8,0.05,0.15,0.10098173541547162,0.0899846532838524,0.09550582209067357,0.0025632464011198786,False,True,False,False,False
0.5,0.05,0.45,0.1004339470274932,0.09053679151126351,0.09550573378690146,0.00351500448021852,False,True,False,False,False
0.2,0.35,0.45,0.10280205304346951,0.08805150293011094,0.09545712891294941,0.005088102072904818,False,True,False,False,False
0.8,0.2,0.0,0.10190157813297249,0.08894640145573847,0.0954506465364897,0.0027066580740117835,False,True,False,False,False
0.05,0.95,0.0,0.10613958322373773,0.0844115632915131,0.09532028111756825,0.001868684152123365,True,False,False,False,False
0.0,0.85,0.15,0.10563317762298927,0.08454072109125817,0.09513034947344415,0.00231010487795609,True,False,False,False,False
0.1,0.5,0.4,0.10356231220106202,0.08660405344544667,0.09511807635978853,0.004904327700638866,False,True,False,False,False
0.0,0.8,0.2,0.1053496366299994,0.08471093398541482,0.095072751774054,0.0023531005368016417,True,False,False,False,False
0.0,0.9,0.1,0.10568048508705281,0.08423677974608898,0.09500275526706671,0.002245468914689741,True,False,False,False,False
0.8,0.0,0.2,0.10003951336161411,0.08988770731908059,0.09498449883014681,0.002714460172539984,False,True,False,False,False
0.05,0.6,0.35,0.10408574985004582,0.08576131316473586,0.09496123610962398,0.0032755326638002624,False,True,False,False,False
0.0,0.75,0.25,0.10483161858187161,0.08473844025670028,0.09482637340760933,0.0026140809437909113,False,False,False,False,False
0.15,0.4,0.45,0.10240397508224144,0.08698513370685187,0.09472628040560714,0.005217371343573196,False,True,False,False,False
0.55,0.0,0.45,0.09922572212324453,0.0901832468167054,0.09472309038624355,0.00334038246893896,False,True,False,False,False
0.0,0.95,0.05,0.10551948486538992,0.0838090162695652,0.0947089223135595,0.0021657656116690627,True,False,False,False,False
0.35,0.15,0.5,0.1001321384015572,0.08881374129545722,0.09449622873144156,0.0048077805072734014,False,True,False,False,False
0.3,0.2,0.5,0.1004906132617679,0.08833859121955949,0.09443960640124438,0.005046600296340062,False,True,False,False,False
0.85,0.1,0.05,0.10015079024594588,0.088600137469381,0.09439923063292385,0.003036926164039791,False,True,False,False,False
0.0,0.7,0.3,0.10406544793732952,0.0846266343608021,0.09438603870786526,0.003039813602990382,False,False,False,False,False
0.85,0.05,0.1,0.0997705623514604,0.08887471613063497,0.09434505867771605,0.0030482546222050794,False,True,False,False,False
0.4,0.1,0.5,0.09955582681198008,0.08908635597815456,0.09434263351612458,0.0049135726261007595,False,True,False,False,False
0.0,1.0,0.0,0.1051424106537783,0.08323385591717272,0.09423321261620927,0.0020707628555728386,False,False,False,False,False
0.85,0.15,0.0,0.10025309796222617,0.08809223947585071,0.094197691061603,0.0029008870060920344,False,True,False,False,False
0.25,0.25,0.5,0.10060976368619845,0.08768492996882922,0.09417394113557426,0.00525118884792182,False,True,False,False,False
0.05,0.55,0.4,0.10272618551409794,0.08526794539500747,0.09403298775932449,0.003772414961911788,False,True,False,False,False
0.85,0.0,0.15,0.09907769383554098,0.08891218576006635,0.09401585648108654,0.0028462676292950184,False,True,False,False,False
0.45,0.05,0.5,0.0987298367496642,0.08912339344554493,0.09394638144185173,0.004241831536141105,False,True,False,False,False
0.1,0.45,0.45,0.10179694915564565,0.08579227528284829,0.09382754364696877,0.005308401276415631,False,True,False,False,False
0.0,0.65,0.35,0.1030444246026399,0.08433383400537588,0.09372762846161545,0.0034799396277265526,False,False,False,False,False
0.2,0.3,0.5,0.10051953493508559,0.0868266975984114,0.09370129082916964,0.005411776288645864,False,True,False,False,False
0.5,0.0,0.5,0.09772159010642144,0.08895944098863999,0.09335854466094178,0.0039550498284952745,False,True,False,False,False
0.15,0.35,0.5,0.10020636253529627,0.08583080165436974,0.0930481614382094,0.005537040820987091,False,True,False,False,False
0.9,0.05,0.05,0.09829606970296972,0.0875468661520284,0.09294358563027878,0.0027825585803542274,False,True,False,False,False
0.0,0.6,0.4,0.10173135632766123,0.0838540007699601,0.09282946323102814,0.00395005243835457,False,False,False,False,False
0.05,0.5,0.45,0.10103289985607607,0.08451462471819421,0.09280775050758343,0.004289976959965067,False,False,False,False,False
