window,time,baseline,lambda,n_features,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_3,2438,exp016_static_strict_oof_proxy,0.1,10,0.271428754213664,0.26923999381982416,-0.0021887603938398614,0.998770597251246
fold_3,2438,exp016_static_strict_oof_proxy,0.15,10,0.271428754213664,0.26731045905499407,-0.00411829515866996,0.9971081624441684
fold_3,2438,exp016_static_strict_oof_proxy,0.05,20,0.271428754213664,0.2716024184279482,0.0001736642142841638,0.9996870138346006
fold_3,2438,exp016_static_strict_oof_proxy,0.1,20,0.271428754213664,0.27087041017746905,-0.0005583440361949799,0.9986566812917087
fold_3,2438,exp016_static_strict_oof_proxy,0.15,20,0.271428754213664,0.27017464465078744,-0.001254109562876582,0.9968424448742353
fold_3,2438,exp016_static_strict_oof_proxy,0.05,40,0.271428754213664,0.27108594770193206,-0.0003428065117319634,0.9997542759113738
fold_3,2438,exp016_static_strict_oof_proxy,0.1,40,0.271428754213664,0.26948977567423965,-0.0019389785394243741,0.9989318484451527
fold_3,2438,exp016_static_strict_oof_proxy,0.15,40,0.271428754213664,0.2675214117611823,-0.003907342452481699,0.9973268688367237
fold_3,2439,exp016_static_strict_oof_proxy,0.05,10,0.2648388233906629,0.26498153279625725,0.00014270940559435452,0.9997209353930534
fold_3,2439,exp016_static_strict_oof_proxy,0.1,10,0.2648388233906629,0.26512505354891225,0.0002862301582493565,0.9988762454293656
fold_3,2439,exp016_static_strict_oof_proxy,0.15,10,0.2648388233906629,0.2646901437501579,-0.0001486796405049673,0.9974035828056964
fold_3,2439,exp016_static_strict_oof_proxy,0.05,20,0.2648388233906629,0.26486927399331195,3.0450602649056968e-05,0.9996810375688973
fold_3,2439,exp016_static_strict_oof_proxy,0.1,20,0.2648388233906629,0.2650919762420271,0.0002531528513642356,0.99864838042599
fold_3,2439,exp016_static_strict_oof_proxy,0.15,20,0.2648388233906629,0.26470105350547346,-0.00013776988518943156,0.9968856809149523
fold_3,2439,exp016_static_strict_oof_proxy,0.05,40,0.2648388233906629,0.26407194067896944,-0.0007668827116934507,0.9997406161087112
fold_3,2439,exp016_static_strict_oof_proxy,0.1,40,0.2648388233906629,0.26323033029440124,-0.001608493096261654,0.9988909473837205
fold_3,2439,exp016_static_strict_oof_proxy,0.15,40,0.2648388233906629,0.2615122961768578,-0.0033265272138051083,0.9972627889988133
fold_3,2440,exp016_static_strict_oof_proxy,0.05,10,0.26725931719299667,0.26765141004694426,0.00039209285394758986,0.9997309852588411
fold_3,2440,exp016_static_strict_oof_proxy,0.1,10,0.26725931719299667,0.266812561542644,-0.0004467556503526815,0.9988580370117286
fold_3,2440,exp016_static_strict_oof_proxy,0.15,10,0.26725931719299667,0.2667503343389485,-0.0005089828540481567,0.9973876429256128
fold_3,2440,exp016_static_strict_oof_proxy,0.05,20,0.26725931719299667,0.266423012312998,-0.000836304879998695,0.9996748655687016
fold_3,2440,exp016_static_strict_oof_proxy,0.1,20,0.26725931719299667,0.26578670290967876,-0.0014726142833179079,0.9986281714052938
fold_3,2440,exp016_static_strict_oof_proxy,0.15,20,0.26725931719299667,0.26472680592769754,-0.002532511265299131,0.9967589772455945
fold_3,2440,exp016_static_strict_oof_proxy,0.05,40,0.26725931719299667,0.26570430466639766,-0.001555012526599009,0.9997252577110164
fold_3,2440,exp016_static_strict_oof_proxy,0.1,40,0.26725931719299667,0.26393670425478427,-0.0033226129382123992,0.9988424466778031
fold_3,2440,exp016_static_strict_oof_proxy,0.15,40,0.26725931719299667,0.26163541115696476,-0.0056239060360319115,0.9972407749822334
fold_3,2441,exp016_static_strict_oof_proxy,0.05,10,0.1806761046477296,0.18039930034983645,-0.0002768042978931462,0.9997113297437958
fold_3,2441,exp016_static_strict_oof_proxy,0.1,10,0.1806761046477296,0.1796926389088828,-0.000983465738846806,0.9987743156518051
fold_3,2441,exp016_static_strict_oof_proxy,0.15,10,0.1806761046477296,0.17925396360138995,-0.0014221410463396422,0.9971944426574358
fold_3,2441,exp016_static_strict_oof_proxy,0.05,20,0.1806761046477296,0.17972967563265957,-0.0009464290150700272,0.9996758463168588
fold_3,2441,exp016_static_strict_oof_proxy,0.1,20,0.1806761046477296,0.1781226727874065,-0.0025534318603230854,0.9986389479626606
fold_3,2441,exp016_static_strict_oof_proxy,0.15,20,0.1806761046477296,0.17679419695269924,-0.0038819076950303566,0.9968010575820252
fold_3,2441,exp016_static_strict_oof_proxy,0.05,40,0.1806761046477296,0.17941470642114882,-0.0012613982265807788,0.999740442903053
fold_3,2441,exp016_static_strict_oof_proxy,0.1,40,0.1806761046477296,0.1779623783508916,-0.0027137262968379983,0.9988679754356978
fold_3,2441,exp016_static_strict_oof_proxy,0.15,40,0.1806761046477296,0.17629109059583678,-0.004385014051892816,0.9972592963176786
fold_3,2442,exp016_static_strict_oof_proxy,0.05,10,0.12233002351232145,0.1228091900479525,0.0004791665356310565,0.9997165432945455
fold_3,2442,exp016_static_strict_oof_proxy,0.1,10,0.12233002351232145,0.1235247938683698,0.0011947703560483552,0.9988091343993857
fold_3,2442,exp016_static_strict_oof_proxy,0.15,10,0.12233002351232145,0.12404962346319949,0.0017195999508780452,0.9972180409293914
fold_3,2442,exp016_static_strict_oof_proxy,0.05,20,0.12233002351232145,0.12342330493156752,0.00109328141924607,0.9996795511759021
fold_3,2442,exp016_static_strict_oof_proxy,0.1,20,0.12233002351232145,0.1243700700611319,0.002040046548810459,0.9986480955219615
fold_3,2442,exp016_static_strict_oof_proxy,0.15,20,0.12233002351232145,0.12552206800367954,0.003192044491358098,0.9968213250176543
fold_3,2442,exp016_static_strict_oof_proxy,0.05,40,0.12233002351232145,0.12307130888689388,0.0007412853745724368,0.9997316531014492
fold_3,2442,exp016_static_strict_oof_proxy,0.1,40,0.12233002351232145,0.12344657246756859,0.0011165489552471403,0.9988341683827687
fold_3,2442,exp016_static_strict_oof_proxy,0.15,40,0.12233002351232145,0.12422238067714236,0.001892357164820918,0.9971253092297194
fold_3,2443,exp016_static_strict_oof_proxy,0.05,10,0.11894496135251457,0.11934698254666594,0.00040202119415136406,0.9996985026861288
fold_3,2443,exp016_static_strict_oof_proxy,0.1,10,0.11894496135251457,0.1199739158884883,0.0010289545359737223,0.9987260780338626
fold_3,2443,exp016_static_strict_oof_proxy,0.15,10,0.11894496135251457,0.11990006642909984,0.0009551050765852637,0.9970777696412126
fold_3,2443,exp016_static_strict_oof_proxy,0.05,20,0.11894496135251457,0.11927201511454937,0.0003270537620347902,0.999669216258065
fold_3,2443,exp016_static_strict_oof_proxy,0.1,20,0.11894496135251457,0.11961126031641865,0.0006662989639040773,0.9986180688266392
fold_3,2443,exp016_static_strict_oof_proxy,0.15,20,0.11894496135251457,0.12020430847955053,0.001259347127035959,0.996784402649914
fold_3,2443,exp016_static_strict_oof_proxy,0.05,40,0.11894496135251457,0.11896851208403186,2.355073151728837e-05,0.999718054916139
fold_3,2443,exp016_static_strict_oof_proxy,0.1,40,0.11894496135251457,0.11906071272971427,0.0001157513771996993,0.9987683675477723
fold_3,2443,exp016_static_strict_oof_proxy,0.15,40,0.11894496135251457,0.11902531797904903,8.035662653445297e-05,0.9969924303831273
fold_3,2444,exp016_static_strict_oof_proxy,0.05,10,0.23199914205919026,0.22918364734197058,-0.0028154947172196743,0.9997240674496919
fold_3,2444,exp016_static_strict_oof_proxy,0.1,10,0.23199914205919026,0.22580085179311488,-0.006198290266075379,0.9988775166404753
fold_3,2444,exp016_static_strict_oof_proxy,0.15,10,0.23199914205919026,0.22271855154258788,-0.009280590516602377,0.9973695658516503
fold_3,2444,exp016_static_strict_oof_proxy,0.05,20,0.23199914205919026,0.2301337419032753,-0.0018654001559149647,0.9996832643019712
fold_3,2444,exp016_static_strict_oof_proxy,0.1,20,0.23199914205919026,0.22748149300333714,-0.004517649055853112,0.9986721375118853
fold_3,2444,exp016_static_strict_oof_proxy,0.15,20,0.23199914205919026,0.22507381447839034,-0.006925327580799917,0.9969064376081923
fold_3,2444,exp016_static_strict_oof_proxy,0.05,40,0.23199914205919026,0.2325160707345318,0.0005169286753415325,0.9997169149155082
fold_3,2444,exp016_static_strict_oof_proxy,0.1,40,0.23199914205919026,0.23258034203982972,0.000581199980639463,0.9987937534623587
fold_3,2444,exp016_static_strict_oof_proxy,0.15,40,0.23199914205919026,0.23242681993294453,0.00042767787375427857,0.9971075922438113
fold_3,2445,exp016_static_strict_oof_proxy,0.05,10,0.2506067187701544,0.24869418400155888,-0.001912534768595514,0.9997190411567682
fold_3,2445,exp016_static_strict_oof_proxy,0.1,10,0.2506067187701544,0.24560507985228225,-0.005001638917872142,0.9988493395616203
fold_3,2445,exp016_static_strict_oof_proxy,0.15,10,0.2506067187701544,0.2423323126695467,-0.0082744061006077,0.9972809051793868
