window,time,variant,baseline_ic,candidate_ic,delta
fold_3,2847,final,0.007646056903688224,0.013846615307159879,0.006200558403471655
fold_3,2848,final,0.08916777329184375,0.09680349341237506,0.007635720120531306
fold_3,2849,final,0.1535880107908693,0.15569563853740545,0.0021076277465361393
fold_3,2850,final,0.10166555699131388,0.1039547452723062,0.002289188280992324
fold_3,2851,final,0.05287603482388333,0.0554010607553395,0.0025250259314561693
fold_3,2852,final,0.0036508076079140236,-0.0005720548746276296,-0.004222862482541653
fold_3,2853,final,-0.12810889906980394,-0.131788875575453,-0.003679976505649052
fold_3,2854,final,-0.1855726798288708,-0.19385284588543336,-0.008280166056562566
fold_3,2855,final,-0.21572182456562217,-0.22373831294121552,-0.00801648837559335
fold_3,2856,final,-0.175841432132832,-0.17974087824112633,-0.0038994461082943466
fold_3,2857,final,-0.07563106896133462,-0.07630704377197142,-0.0006759748106368035
fold_3,2858,final,0.09532699133045772,0.09217937179078325,-0.003147619539674462
fold_3,2859,final,0.1296774612620308,0.13245392896187055,0.0027764676998397464
fold_3,2860,final,0.17335309500460291,0.17241379297879403,-0.0009393020258088858
fold_3,2861,final,0.24514743204584827,0.24705845469381338,0.0019110226479651105
fold_3,2862,final,0.11835067382516289,0.11884161121870757,0.0004909373935446798
fold_3,2863,final,0.16463011066892433,0.16257950088735998,-0.00205060978156435
fold_3,2864,final,0.049240710638646414,0.044631645483558566,-0.004609065155087848
fold_3,2865,final,0.11173273969215987,0.10676595158287225,-0.00496678810928762
fold_3,2866,final,-0.019714895004507172,-0.02323108684449879,-0.0035161918399916163
fold_3,2867,final,0.08097310587389352,0.08249888509522368,0.0015257792213301674
fold_3,2868,final,0.037592031145765585,0.02827013231524564,-0.009321898830519947
fold_3,2869,final,-0.0171081745274277,-0.022900663068617672,-0.005792488541189973
fold_3,2870,final,-0.09912433865085045,-0.10500755888425047,-0.005883220233400016
fold_3,2871,final,-0.07706404103863648,-0.08325095829523836,-0.006186917256601879
fold_3,2872,final,-0.031747596937691004,-0.03894569697147064,-0.007198100033779638
fold_3,2873,final,0.07219077826712371,0.07050037338677924,-0.0016904048803444705
fold_3,2874,final,0.12234078426087198,0.12014802851723598,-0.0021927557436360046
fold_3,2875,final,0.13414298401727648,0.12533851413872035,-0.008804469878556126
fold_3,2876,final,0.2974573476496298,0.298791401869204,0.001334054219574221
fold_3,2877,final,0.30772013189417025,0.30746790567684373,-0.0002522262173265122
fold_3,2878,final,0.2913966793706174,0.28999409618011646,-0.0014025831905009611
fold_3,2879,final,0.2316709699186902,0.2233470320355526,-0.008323937883137622
fold_3,2880,final,0.2603038002777725,0.2616568343673273,0.0013530340895547832
fold_3,2881,final,0.20655425645246062,0.21165052271818965,0.005096266265729038
fold_3,2882,final,0.2025203316110132,0.20369326421657352,0.0011729326055603118
