window,time,baseline,method,alpha,history_w,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline,history_sections
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.05,40,0.20173704789785943,0.20213161881309047,0.0003945709152310406,0.9986343350095439,7
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.1,40,0.20173704789785943,0.20263000326300287,0.0008929553651434441,0.9940909894693353,7
fold_1,1466,exp016_static_strict_oof_proxy,shuffled,0.15,40,0.20173704789785943,0.20159392794342684,-0.00014311995443258563,0.9856882684594768,7
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.05,10,0.24862827368986057,0.24711827536707695,-0.0015099983227836178,0.9989305463820976,8
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.1,10,0.24862827368986057,0.2452968484289715,-0.0033314252608890593,0.9950585057238173,8
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.15,10,0.24862827368986057,0.2417147537540939,-0.0069135199357666655,0.9868817179947329,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.05,10,0.24862827368986057,0.24729340947436998,-0.0013348642154905888,0.9986312392896072,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.1,10,0.24862827368986057,0.24450321235586286,-0.004125061333997704,0.9940680427209398,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.15,10,0.24862827368986057,0.240786375847673,-0.007841897842187556,0.9853046866568572,8
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.05,20,0.24862827368986057,0.24711827536707695,-0.0015099983227836178,0.9989305463820976,8
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.1,20,0.24862827368986057,0.2452968484289715,-0.0033314252608890593,0.9950585057238173,8
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.15,20,0.24862827368986057,0.2417147537540939,-0.0069135199357666655,0.9868817179947329,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.05,20,0.24862827368986057,0.24919068187533328,0.000562408185472707,0.9986642583751313,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.1,20,0.24862827368986057,0.24863883391552155,1.0560225660982692e-05,0.9942362027733965,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.15,20,0.24862827368986057,0.24794534654626393,-0.0006829271435966344,0.9858445573122177,8
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.05,40,0.24862827368986057,0.24711827536707695,-0.0015099983227836178,0.9989305463820976,8
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.1,40,0.24862827368986057,0.2452968484289715,-0.0033314252608890593,0.9950585057238173,8
fold_1,1467,exp016_static_strict_oof_proxy,momentum,0.15,40,0.24862827368986057,0.2417147537540939,-0.0069135199357666655,0.9868817179947329,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.05,40,0.24862827368986057,0.24920147264563158,0.0005731989557710149,0.9986083957114293,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.1,40,0.24862827368986057,0.24979646599636166,0.0011681923065010869,0.9940489649413634,8
fold_1,1467,exp016_static_strict_oof_proxy,shuffled,0.15,40,0.24862827368986057,0.24846145254414295,-0.00016682114571761608,0.9853487728516678,8
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.05,10,0.21253995204643145,0.21973871754041183,0.00719876549398038,0.9988150854391306,9
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.1,10,0.21253995204643145,0.22817263311759103,0.015632681071159588,0.9945629270314974,9
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.15,10,0.21253995204643145,0.2363264961639743,0.023786544117542857,0.9859132469559565,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.05,10,0.21253995204643145,0.21082076052047996,-0.0017191915259514856,0.9986302194783017,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.1,10,0.21253995204643145,0.20799169382731766,-0.004548258219113782,0.9941146427717558,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.15,10,0.21253995204643145,0.2041928176361586,-0.00834713441027285,0.9854085863106188,9
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.05,20,0.21253995204643145,0.21973871754041183,0.00719876549398038,0.9988150854391306,9
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.1,20,0.21253995204643145,0.22817263311759103,0.015632681071159588,0.9945629270314974,9
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.15,20,0.21253995204643145,0.2363264961639743,0.023786544117542857,0.9859132469559565,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.05,20,0.21253995204643145,0.21142302385656828,-0.00111692818986317,0.9986683852701616,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.1,20,0.21253995204643145,0.20944632159965004,-0.0030936304467814035,0.9942743745783995,9
fold_1,1468,exp016_static_strict_oof_proxy,shuffled,0.15,20,0.21253995204643145,0.20607024544778405,-0.006469706598647401,0.9859973573786075,9
fold_1,1468,exp016_static_strict_oof_proxy,momentum,0.05,40,0.21253995204643145,0.21973871754041183,0.00719876549398038,0.9988150854391306,9
