test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h
3370,False,2.2208383083343506,2846,3157,0.998410940314557
3371,False,1.8882246017456055,2846,3158,0.9981691387935339
3372,False,1.7709083557128906,2836,3133,0.9982294932539738
3373,False,2.9245166778564453,2740,3158,0.9981281726628933
3374,False,1.7758803367614746,2831,3129,0.9977356333245968
3375,False,2.2782936096191406,2749,3155,0.9980520217179778
3376,False,2.400682210922241,2741,3129,0.998030153811317
3377,False,2.2032949924468994,2630,3158,0.9980359017143157
3378,False,3.9196364879608154,2516,3156,0.9978465061916706
3379,False,2.46956205368042,2521,3160,0.9974409136195609
3380,False,1.6587746143341064,2884,3158,0.9981332760975888
3381,False,2.9375715255737305,2777,3160,0.9978098738282678
3382,False,1.8718221187591553,2886,3160,0.997983865248528
3383,False,2.1591029167175293,2973,3160,0.9975998674618063
3384,False,2.018204689025879,2836,3158,0.9977451702641553
3385,False,1.924574613571167,2861,3133,0.9979299663109282
3386,False,1.7973076105117798,2862,3158,0.9980606534041483
3387,False,1.7270718812942505,2789,3135,0.9979239387739004
3388,False,1.7999444007873535,2850,3158,0.9979642475320147
3389,False,1.646496057510376,2884,3158,0.9980334549907307
3390,False,1.5086669921875,2965,3148,0.9981500187401583
3391,False,1.998801350593567,2965,3160,0.997959877114569
3392,False,2.3906402587890625,2630,3158,0.9977776819076136
3393,False,3.1629347801208496,2608,3155,0.997727388235806
3394,False,2.1080636978149414,2687,3158,0.9976946526935294
3395,False,2.520249843597412,2421,3109,0.9964834865575076
3396,False,2.639481782913208,2421,3109,0.9947580718253599
3397,False,2.5359644889831543,2406,3127,0.9963183315382383
3398,False,2.53360652923584,2612,3159,0.997341790907031
3399,False,2.147327423095703,2884,3158,0.9979111702972036
3400,False,3.0303006172180176,2551,3154,0.9975042044773472
3401,False,2.4217820167541504,2614,3125,0.997113905001313
3402,False,2.574822425842285,2539,3125,0.9974345378988735
3403,False,2.4998621940612793,2752,3160,0.9971332994904085
3404,False,1.8974461555480957,2884,3143,0.9976653675571446
3405,False,2.260659694671631,2615,3158,0.9975718929261616
3406,False,2.051168918609619,2787,3143,0.9973755327922003
3407,False,2.4756920337677,2741,3160,0.9972772194453697
3408,False,2.5611038208007812,2551,3109,0.997415838447919
3409,False,2.2486729621887207,2558,3022,0.9973437694041433
3410,False,2.1337947845458984,2560,3020,0.9973075128290874
3411,False,2.2307958602905273,2555,3013,0.9973251091441891
3412,False,2.7083935737609863,2753,3160,0.9972037044701881
3413,False,2.380575180053711,2579,3020,0.997504829738448
3414,False,2.601062774658203,2558,3013,0.9973871443626278
3415,False,2.429443359375,2546,3010,0.996368616513318
3416,False,2.675431251525879,2560,3013,0.9968393069991673
3417,False,4.200601577758789,2541,3160,0.9970732160304454
3418,False,2.2226808071136475,2687,3147,0.9975649325177358
3419,False,2.3942086696624756,2457,3022,0.9958742995589697
3420,False,1.9517064094543457,2787,3148,0.9977262050015618
3421,False,2.675410747528076,2606,3123,0.9975776987544132
3422,False,2.1921091079711914,2850,3158,0.9976569806598232
3423,False,1.8705865144729614,2579,3022,0.9968696291946394
3424,False,1.7717247009277344,2591,3020,0.9966248758257874
3425,False,2.4409995079040527,2268,3143,0.9973932956527406
3426,False,2.1742725372314453,2457,3013,0.9968854352416153
3427,False,2.167250156402588,2741,3159,0.9973651193885946
3428,False,2.7612171173095703,2591,3034,0.997254294973208
3429,False,1.8631045818328857,2588,3013,0.9968572823243839
3430,False,3.889484167098999,978,2910,0.996603587224207
3431,False,2.373748779296875,2757,3129,0.9976518955642395
3432,False,2.834017038345337,2687,3159,0.9971464695631149
3433,False,2.459407091140747,2596,2908,0.9974588670270946
3434,False,2.3204071521759033,2558,3010,0.996924437101468
3435,False,2.04610276222229,2579,2908,0.9969842920477962
3436,False,2.6142125129699707,2443,2900,0.9965299141545635
3437,False,2.2758374214172363,2606,3010,0.9970501393436118
3438,False,2.5997824668884277,2579,2990,0.9966505706661077
3439,False,2.380579948425293,2553,3010,0.9961220518578944
3440,False,2.0530877113342285,2588,3013,0.9963512505056056
3441,False,2.2906758785247803,2579,3013,0.9969078043193824
3442,False,2.5424838066101074,2682,3034,0.9969336903046129
3443,False,2.476381301879883,1113,2901,0.996112532465262
3444,False,3.0308542251586914,2558,3125,0.9972909560146035
3445,False,2.1931846141815186,2579,3013,0.9970245248739313
3446,False,2.4726943969726562,2551,2956,0.9972649413433804
3447,False,2.666619300842285,2682,3129,0.997347213562009
3448,False,2.768049716949463,2468,2956,0.9968827386181863
3449,False,2.7769570350646973,2741,3125,0.9970958655598733
3450,False,2.660757303237915,1276,2908,0.9971325381687142
3451,False,3.0240275859832764,1116,3010,0.9967355995595025
3452,False,2.597252130508423,2790,3158,0.9970849710348991
3453,False,2.419651985168457,2615,3143,0.9972079657137088
3454,False,2.362053394317627,2598,3022,0.9959707345404477
3455,False,2.4021472930908203,2606,3010,0.997228221123973
3456,False,2.2748405933380127,2779,3135,0.9974795965851638
3457,False,2.3318564891815186,2789,3158,0.9975394592718909
3458,False,2.141427993774414,2682,3013,0.9973894870778564
3459,False,2.1787424087524414,2682,3013,0.9973584835274226
3460,False,2.4764466285705566,2682,3123,0.9975509496563695
3461,False,2.2775630950927734,2682,3125,0.9967812663205585
3462,False,2.0424680709838867,2787,3143,0.9970692812186399
