feature,feature_index,train_mean_rank_ic,train_std_rank_ic,train_positive_rate,valid_mean_rank_ic,valid_std_rank_ic,valid_positive_rate,sign_agreement,valid_psi,test_psi,max_psi,valid_outlier_rate,test_outlier_rate,audit_action
num_10,10,-0.026541422479146003,0.1687377489916128,0.4375,-0.03268383151092153,0.17259540865555406,0.411522633744856,True,0.04529544833172864,0.028677148234696123,0.04529544833172864,0.04720164609053498,0.040433333333333335,stable_keep
num_61,61,0.018453742017790594,0.061267752918122,0.65,0.03153536874497979,0.0664975624367221,0.6625514403292181,True,0.013532672115337112,0.04412648530955482,0.04412648530955482,0.10891632373113855,0.13623333333333335,stable_keep
num_66,66,-0.033438904666668934,0.12072840311135334,0.3625,-0.06143646826044362,0.14051608490273415,0.3662551440329218,True,0.017296661225910216,0.04250318859136399,0.04250318859136399,0.057695473251028806,0.03922222222222222,stable_keep
num_37,37,0.024176354381475813,0.050554897943660713,0.675,0.0021712833452267465,0.04674788264581088,0.51440329218107,True,0.04175746569600144,0.01257696935451557,0.04175746569600144,0.024869684499314128,0.012611111111111111,stable_keep
num_9,9,-0.029583954150614628,0.16239973216146308,0.4,-0.04981118443037487,0.17839172547527055,0.3868312757201646,True,0.035444122160551754,0.026659523046100798,0.035444122160551754,0.051001371742112486,0.04184444444444444,stable_keep
num_44,44,-0.00419259836389354,0.07854798143447819,0.5125,-0.00291565984139876,0.09119841775400328,0.48148148148148145,True,0.033279877159985594,0.018165687993371732,0.033279877159985594,0.09300411522633745,0.07288888888888889,stable_keep
num_7,7,-0.052356618366725075,0.1447415408663381,0.3875,-0.04729372744556918,0.12850823829321872,0.3333333333333333,True,0.03199664941601251,0.014822995858909071,0.03199664941601251,0.012688614540466393,0.009211111111111111,stable_keep
num_75,75,-0.01867976068760115,0.08829490469260674,0.3875,-0.013562749998932368,0.09480830101531566,0.42386831275720166,True,0.0024165169382393808,0.03152872186732047,0.03152872186732047,0.0334156378600823,0.0306,stable_keep
num_26,26,0.0035199960963042203,0.10702877665468281,0.525,0.007590227230842319,0.13298235429938177,0.5390946502057613,True,0.030896374050202506,0.031217795639399432,0.031217795639399432,0.018449931412894374,0.03813333333333333,stable_keep
num_43,43,-0.03184823627132762,0.08056493527732825,0.3375,-0.011695423599700891,0.08466173016922705,0.448559670781893,True,0.03059837855074815,0.024584036210706116,0.03059837855074815,0.0921673525377229,0.08212222222222222,stable_keep
num_15,15,0.014084957873569809,0.04705418814391713,0.6625,0.0009541707855970302,0.03602814170479846,0.5102880658436214,True,0.007268845495605131,0.029922515117088776,0.029922515117088776,0.040891632373113856,0.051,stable_keep
num_87,87,-0.03403777211196639,0.07112161774274187,0.2875,-0.016636932206012308,0.0782920947972858,0.43209876543209874,True,0.028987139719961093,0.01659238560243724,0.028987139719961093,0.09112482853223594,0.08226666666666667,stable_keep
num_96,96,-0.023483190582547275,0.0879487342194887,0.4625,-0.015043834076762339,0.09305930001467447,0.4444444444444444,True,0.025206076436999555,0.023178281011164995,0.025206076436999555,0.0835116598079561,0.06286666666666667,stable_keep
num_97,97,-0.024384188197938587,0.08381950684902095,0.4,-0.02479722871467845,0.09174051996165886,0.3950617283950617,True,0.025114851704642692,0.016224259922729113,0.025114851704642692,0.0833196159122085,0.06227777777777778,stable_keep
num_81,81,-0.009398856215745507,0.05537466335284541,0.475,-0.006175956402495944,0.05260367153465829,0.448559670781893,True,0.01141637079618388,0.022939583843629596,0.022939583843629596,0.11823045267489712,0.10043333333333333,stable_keep
num_45,45,-0.015950916932546348,0.09920786955230457,0.4625,-0.013621948050172639,0.10424915479106947,0.4567901234567901,True,0.021897165026917333,0.01787069208179209,0.021897165026917333,0.08488340192043896,0.06467777777777778,stable_keep
num_98,98,-0.019184873553939014,0.09124224013879492,0.45,-0.004113396778188146,0.09542104511801147,0.51440329218107,True,0.01988349393385646,0.013407497834825895,0.01988349393385646,0.08628257887517146,0.06445555555555556,stable_keep
