fold,expert_rounds,recent_weight,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,mean_delta,late_delta
fold_2,8,0.2,0.09772344292138542,0.12713405798305222,0.06855535470751148,0.06604236458044963,0.23045267489711935,0.0006060311176095262,0.0002818121036673171
fold_2,8,0.25,0.09780155448691136,0.1276578205368594,0.06856969902934953,0.06607105853721934,0.23045267489711935,0.0006841426831354636,0.0002961564255053728
fold_2,8,0.3,0.09785204332231866,0.1281480640282598,0.06856926004889478,0.06608093751955856,0.23045267489711935,0.0007346315185427638,0.00029571744505062225
fold_2,8,0.35,0.0978655561390871,0.12859608130262845,0.06853779182284643,0.06606486346470447,0.23045267489711935,0.0007481443353112016,0.00026424921900226883
fold_2,16,0.05,0.09728793024621922,0.1253439084140572,0.06835862567925763,0.06574397398906542,0.23045267489711935,0.00017051844244332648,8.508307541346682e-05
fold_2,16,0.1,0.09741225104097578,0.1259459181728017,0.06839752465368996,0.06582820732375688,0.23045267489711935,0.0002948392371998898,0.00012398204984580274
fold_2,16,0.15,0.09750942552822023,0.12652784286311464,0.06841460402126794,0.06587771443284465,0.23045267489711935,0.00039201372444433447,0.00014106141742377398
fold_2,16,0.2,0.09758080396915295,0.12707584263576863,0.06841286533357564,0.06590486338929306,0.23045267489711935,0.0004633921653770523,0.00013932272973148085
fold_2,16,0.25,0.09762416147891056,0.1275913539247835,0.0683889699160517,0.06590964187829852,0.23045267489711935,0.0005067496751346712,0.00011542731220753888
fold_2,16,0.3,0.0976510561313793,0.12808180376611297,0.06835697170329585,0.06590002917595694,0.23045267489711935,0.0005336443276034025,8.342909945169286e-05
fold_2,16,0.35,0.09763820023575795,0.12854289672648023,0.06829016763996869,0.06584803826965104,0.2345679012345679,0.0005207884319820555,1.662503612452626e-05
fold_2,32,0.05,0.09743626492880134,0.12549918006716373,0.06848277351350311,0.06582207358057944,0.23045267489711935,0.0003188531250254423,0.00020923090965895008
fold_2,32,0.1,0.09769191198864562,0.1262569363248366,0.06862657562201423,0.06595396750217876,0.23045267489711935,0.0005745001848697223,0.00035303301817006527
fold_2,32,0.15,0.09791956964336537,0.12698783851919176,0.06875432957888167,0.06606248379838561,0.23045267489711935,0.0008021578395894791,0.000480786975037506
