test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h,rank_correlation_to_exp024b
3331,False,3.2997384071350098,2468,3155,0.9975575902807698,0.999415379945518
3332,False,2.9270071983337402,2504,3127,0.9968307680610482,0.9990180400955616
3333,False,3.0903186798095703,2810,3154,0.9977428889793837,0.9994284915190363
3334,False,3.884695291519165,2390,3160,0.9974754927310695,0.999633912755043
3335,False,3.7132534980773926,2559,3158,0.9944104830662436,0.9976054253872128
3336,False,2.735764503479004,2615,3160,0.9976072747242518,0.999583660697645
3337,False,3.6299214363098145,2410,3155,0.9973660457788867,0.9991560307143107
3338,False,3.754641532897949,1245,3110,0.9965323138308226,0.9966342161820751
3339,False,4.018631935119629,2845,3160,0.997597949929866,0.9994823708194963
3340,False,3.0957961082458496,2530,3155,0.997481242275221,0.9996905537685845
3341,False,3.1377198696136475,2406,3127,0.9973113704315464,0.9993519563946391
3342,False,2.84722638130188,2406,3127,0.9969681980627901,0.9990909047366336
3343,False,3.559023141860962,2810,3158,0.9975505379739092,0.9995573267929618
3344,False,3.3680245876312256,1164,3110,0.9964254847999289,0.9986009734410968
3345,False,4.227235317230225,1247,3123,0.9974804521131901,0.999467721307282
3346,False,2.802205801010132,2521,3159,0.9967849675511827,0.9992846307729737
3347,False,3.1596174240112305,2521,3160,0.9973574373153059,0.999734406226612
3348,False,2.7897891998291016,2754,3160,0.9977278820741337,0.9995460743834611
3349,False,2.1366498470306396,2687,3160,0.9980076357049878,0.9997441672057733
3350,False,2.242720127105713,2981,3158,0.9978152129481864,0.9995062138771215
3351,False,2.681776523590088,2513,3158,0.9980267982859461,0.9989181786803301
3352,False,2.328538179397583,2846,3158,0.9981381741545774,0.9996952684279022
3353,False,2.7876992225646973,2811,3155,0.9978738198774738,0.9997143248524998
3354,False,3.2915167808532715,2507,3114,0.9978321593812424,0.9994039072710506
3355,False,3.287412643432617,2509,3159,0.997444014253609,0.9996781108853801
3356,False,2.1064109802246094,2927,3160,0.9979547154337524,0.9998080339610788
3357,False,3.4113965034484863,2528,3155,0.9980388516559922,0.9997887049042984
3358,False,3.941721200942993,2301,3156,0.997961838396986,0.9997824698546168
